,설립구분,지역,학교명,기준연도,출생년도,학년,구분,학생수
821103,공립,충청북도 단양군,가곡초등학교보발분교장,2017,09,2학년,out,0
827346,공립,충청북도 단양군,가곡초등학교보발분교장,2017,09,2학년,ttl,2
908480,공립,충청북도 단양군,가곡초등학교보발분교장,2016,09,1학년,in,0
914699,공립,충청북도 단양군,가곡초등학교보발분교장,2016,09,1학년,out,0
920918,공립,충청북도 단양군,가곡초등학교보발분교장,2016,09,1학년,ttl,2
325226,공립,충청북도 단양군,가곡초등학교보발분교장,2022,10,6학년,in,0
331535,공립,충청북도 단양군,가곡초등학교보발분교장,2022,10,6학년,out,0
337844,공립,충청북도 단양군,가곡초등학교보발분교장,2022,10,6학년,ttl,0
419852,공립,충청북도 단양군,가곡초등학교보발분교장,2021,10,5학년,in,0
426161,공립,충청북도 단양군,가곡초등학교보발분교장,2021,10,5학년,out,0
432470,공립,충청북도 단양군,가곡초등학교보발분교장,2021,10,5학년,ttl,0
514283,공립,충청북도 단양군,가곡초등학교보발분교장,2020,10,4학년,in,0
520572,공립,충청북도 단양군,가곡초등학교보발분교장,2020,10,4학년,out,0
526861,공립,충청북도 단양군,가곡초등학교보발분교장,2020,10,4학년,ttl,0
608452,공립,충청북도 단양군,가곡초등학교보발분교장,2019,10,3학년,in,0
614717,공립,충청북도 단양군,가곡초등학교보발분교장,2019,10,3학년,out,0
620982,공립,충청북도 단양군,가곡초등학교보발분교장,2019,10,3학년,ttl,0
702365,공립,충청북도 단양군,가곡초등학교보발분교장,2018,10,2학년,in,0
708617,공립,충청북도 단양군,가곡초등학교보발분교장,2018,10,2학년,out,0
714869,공립,충청북도 단양군,가곡초등학교보발분교장,2018,10,2학년,ttl,0
796131,공립,충청북도 단양군,가곡초등학교보발분교장,2017,10,1학년,in,0
802374,공립,충청북도 단양군,가곡초등학교보발분교장,2017,10,1학년,out,0
808617,공립,충청북도 단양군,가곡초등학교보발분교장,2017,10,1학년,ttl,0
211677,공립,충청북도 단양군,가곡초등학교보발분교장,2023,11,6학년,in,0
217984,공립,충청북도 단양군,가곡초등학교보발분교장,2023,11,6학년,out,1
224291,공립,충청북도 단양군,가곡초등학교보발분교장,2023,11,6학년,ttl,2
306299,공립,충청북도 단양군,가곡초등학교보발분교장,2022,11,5학년,in,1
312608,공립,충청북도 단양군,가곡초등학교보발분교장,2022,11,5학년,out,0
318917,공립,충청북도 단양군,가곡초등학교보발분교장,2022,11,5학년,ttl,1
400925,공립,충청북도 단양군,가곡초등학교보발분교장,2021,11,4학년,in,0
407234,공립,충청북도 단양군,가곡초등학교보발분교장,2021,11,4학년,out,1
413543,공립,충청북도 단양군,가곡초등학교보발분교장,2021,11,4학년,ttl,2
495416,공립,충청북도 단양군,가곡초등학교보발분교장,2020,11,3학년,in,2
501705,공립,충청북도 단양군,가곡초등학교보발분교장,2020,11,3학년,out,2
507994,공립,충청북도 단양군,가곡초등학교보발분교장,2020,11,3학년,ttl,2
589657,공립,충청북도 단양군,가곡초등학교보발분교장,2019,11,2학년,in,1
595922,공립,충청북도 단양군,가곡초등학교보발분교장,2019,11,2학년,out,1
602187,공립,충청북도 단양군,가곡초등학교보발분교장,2019,11,2학년,ttl,1
