,학교명,학교도로명 주소,폐교여부,new위도,new경도
245,야동초등학교,충청북도 충주시 소태면 구룡로 769,Y,37.1004113,127.8776945
246,엄정초등학교,충청북도 충주시 엄정면 내창로 199-5,N,37.0875070,127.9161380
247,연수초등학교,충청북도 충주시 번영대로 181,N,36.9881100,127.9384500
248,오석초등학교,충청북도 충주시 금가면 김생로 456,N,36.9995052,127.8960239
249,충주용산초등학교,충청북도 충주시 남산로 109,N,36.9627616,127.9442947
250,용원초등학교,충청북도 충주시 신니면 안용원로 6,N,36.9955727,127.7349253
251,주덕초등학교,충청북도 충주시 주덕읍 신중신촌2길 10,N,36.9762230,127.7871600
252,충주교현초등학교,충청북도 충주시 교동2길 15,N,36.9746510,127.9365707
253,충주남산초등학교,충청북도 충주시 거룡2길 31,N,36.9609899,127.9369396
254,충주대림초등학교,충청북도 충주시 대림1길 28,N,36.9683240,127.9180677
255,충주삼원초등학교,충청북도 충주시 삼원로 128,N,36.9769588,127.9248842
256,충주성남초등학교,충청북도 충주시 염밭로 101,N,36.9665272,127.9415579
257,충주예성초등학교,충청북도 충주시 주봉1길 25,N,36.9794003,127.9329334
258,충주중앙초등학교,충청북도 충주시 연원5길 19,N,36.9842829,127.9304210
259,칠금초등학교,충청북도 충주시 칠금18길 21,N,36.9844305,127.9233841
260,탄금초등학교,충청북도 충주시 우륵로 55,N,36.9844995,127.9182766
261,초강초등학교,충청북도 영동군 심천면 초강로 97,N,36.2168835,127.7144156
262,장락초등학교,충청북도 제천시 죽하로 25,N,37.1545904,128.2227875
263,죽림초등학교,충청북도 청주시 서원구 대림로 473,N,36.6126820,127.4430349
264,산성초등학교,충청북도 청주시 상당구 호미로 306,N,36.6339071,127.5110250
265,주중초등학교,충청북도 청주시 청원구 주성로 223,N,36.6721679,127.4915000
266,사천초등학교,충청북도 청주시 청원구 주성로 121,N,36.6708513,127.4799442
267,서경초등학교,충청북도 청주시 흥덕구 서경로 19,N,36.6184262,127.4415668
268,봉덕초등학교,충청북도 청주시 흥덕구 덕암로68번길 9,N,36.6526570,127.4623130
269,용성초등학교,충청북도 청주시 상당구 호미로 167,N,36.6235614,127.5178721
270,내토초등학교,충청북도 제천시 관전로 99,N,37.1341112,128.2286987
