,학교명,위도,경도,학교도로명 주소,폐교여부
188,덕성초등학교,36.66735,127.48436,충청북도 청주시 청원구 공항로 113,N
189,동주초등학교,36.630357,127.51015,충청북도 청주시 상당구 호미로 269,N
190,모충초등학교,36.6256894,127.4783541,충청북도 청주시 서원구 쌍샘로 49,N
191,복대초등학교,36.6141043351,127.4299455885,충청북도 청주시 흥덕구 홍골로 58,N
192,봉명초등학교,36.639915,127.456425,충청북도 청주시 흥덕구 봉명로141번길 3,N
193,봉정초등학교,36.647932,127.456813,충청북도 청주시 흥덕구 월명로140번길 37,N
194,북일초등학교,36.6896501,127.4853977,충청북도 청주시 청원구 주중로 13-19,N
195,분평초등학교,36.61329,127.49328,충청북도 청주시 서원구 무심서로 205,N
196,사직초등학교,36.6309983,127.4776886,충청북도 청주시 서원구 남사로 25,N
197,상당초등학교,36.6080895,127.5099738,충청북도 청주시 상당구 동남로 151,N
198,새터초등학교,36.6671971,127.4710638,충청북도 청주시 청원구 새터로 224,N
199,서원초등학교,36.631732,127.442075,충청북도 청주시 흥덕구 가로수로 1340-6,N
200,서촌초등학교,36.650557,127.39945,충청북도 청주시 흥덕구 동촌로 126,N
201,석교초등학교,36.6267429,127.4941729,충청북도 청주시 상당구 대성로 14,N
202,수곡초등학교,36.6183643,127.4711256,충청북도 청주시 서원구 수곡로 73,N
203,용담초등학교,36.6363369,127.5013846,충청북도 청주시 상당구 용담로105번길 32,N
204,용담초등학교현양원분교장,36.6423404,127.538625,충청북도 청주시 상당구 산성로658번길 301,N
205,용암초등학교,36.613931,127.508077,충청북도 청주시 상당구 원봉로 55,N
206,우암초등학교,36.6474665,127.4904519,충청북도 청주시 청원구 상당로 204,N
207,운동초등학교,36.36239,127.30473,충청북도 청주시 상당구 운동로 31,N
208,운천초등학교,36.6544457,127.4733132,충청북도 청주시 흥덕구 무심서로 721,N
209,원봉초등학교,36.612799,127.50185,충청북도 청주시 상당구 월평로 153번길 25,N
210,원평초등학교,36.61132,127.495564,충청북도 청주시 서원구 원마루로 32,N
211,율량초등학교,36.6679784,127.4913803,충청북도 청주시 청원구 율봉로212번길 14,N
212,주성초등학교,36.641424,127.4852,충청북도 청주시 상당구 교서로 45,N
213,중앙초등학교,36.667335,127.501032,충청북도 청주시 청원구 율봉로 287,N
214,증안초등학교,36.634368,127.427514,충청북도 청주시 흥덕구 진재로47번길 45,N
215,진흥초등학교,36.636117,127.434876,충청북도 청주시 흥덕구 증안로 107,N
216,창신초등학교,36.629772,127.464081,충청북도 청주시 서원구 1순환로709번길 44,N
217,청남초등학교,36.620132,127.497413,충청북도 청주시 상당구 단재로 109,N
