,지역,학교명,S_i(2025),T_i (2025),B_i(2025),D_i(2025),X_i(2025)
210,충청북도 청주시,주중초등학교,0.8288910872557701,0.849310534161279,0.9493087557603688,0.03397612488521579,0.4859002169197397
211,충청북도 청주시,죽림초등학교,0.8483361799908447,0.8685738004209066,0.9493087557603688,0.03397612488521579,0.3091106290672451
212,충청북도 청주시,중앙초등학교,0.8212623306834451,0.8468403477694711,0.9493087557603688,0.0,0.9002169197396963
213,충청북도 청주시,증안초등학교,0.8403661977054491,0.8525361458878064,0.9493087557603688,0.03397612488521579,0.40943600867678964
214,충청북도 청주시,직지초등학교,0.822043626948335,0.8479890758729168,0.9493087557603688,0.03397612488521579,0.36008676789587857
215,충청북도 청주시,진흥초등학교,0.8467507004055931,0.8562089352292039,0.9493087557603688,0.10192837465564737,0.36822125813449025
216,충청북도 청주시,창리초등학교,0.7729206953979378,0.8684934551410781,0.9493087557603688,0.0,0.7608459869848156
217,충청북도 청주시,창신초등학교,0.8352771713830894,0.863298549491756,0.9493087557603688,0.0,0.6811279826464208
218,충청북도 청주시,청남초등학교,0.8545836284770912,0.8478504700391384,0.9493087557603688,0.0,0.1822125813449024
219,충청북도 청주시,청원초등학교,0.8456340750978448,0.8567620805140991,0.9493087557603688,0.06795224977043159,0.44577006507592193
220,충청북도 청주시,청주교육대학교부설초등학교,0.8245778936546327,0.8470268825278554,0.9493087557603688,0.03397612488521579,0.22234273318872017
221,충청북도 청주시,청주내곡초등학교,0.7654107394484858,0.8518225254415033,0.9493087557603688,0.0,0.7250542299349241
222,충청북도 청주시,청주내덕초등학교,0.7953102331864462,0.8420261629102075,0.9493087557603688,0.03397612488521579,0.12527114967462039
223,충청북도 청주시,청주대성초등학교,0.7991518243819512,0.8561279955392003,0.9493087557603688,0.06795224977043159,0.2885032537960955
224,충청북도 청주시,청주소로초등학교,0.7616765626190978,0.8681748343856011,0.9493087557603688,0.0,0.42733188720173537
225,충청북도 청주시,풍광초등학교,0.8168448635204859,0.8457280309790333,0.9493087557603688,0.10192837465564737,0.2478308026030369
226,충청북도 청주시,한국교원대학교부설월곡초등학교,0.8360293312911086,0.8469346854361772,0.9493087557603688,0.0,0.2543383947939263
