,지역,학교명,S_i(2025),T_i (2025),B_i(2025),D_i(2025),X_i(2025),SCR(2025),폐교위험등급
232,충청북도 충주시,가흥초등학교,-1.1204012627939808,-0.33100602489411357,-0.08061146328200819,-0.6249001262617193,-0.7406694756273577,0.3750925182484035,정상
159,충청북도 청주시,문의초등학교도원분교장,-0.3094283215701983,0.3957588756939604,0.9724369426843679,-0.6249001262617193,-0.6755717510690712,0.37093355747822365,정상
79,충청북도 음성군,생극초등학교,0.1607603747152816,0.2921466759650061,-0.21917046406705784,-0.6249001262617193,-0.5074026292934979,0.3608097300383726,정상
132,충청북도 진천군,한천초등학교,0.21739205095899647,0.17976509907379618,1.0555723431553976,1.3020246690506752,-0.3527955334675675,0.34206705258203934,정상
122,충청북도 진천군,문상초등학교,0.2911577565911329,0.21421994163406927,1.0555723431553976,-0.6249001262617193,-0.5426638967625697,0.33916622610415575,정상
30,충청북도 보은군,보은삼산초등학교,-0.205320823125836,0.08700825687161733,-1.355354270504464,2.2654870667068727,-0.13851552346320786,0.3282548226840786,정상
78,충청북도 음성군,삼성초등학교,0.21501416209526902,-0.002098710536075394,-0.21917046406705784,-0.6249001262617193,-0.44501730992514,0.3205311949977026,정상
116,충청북도 증평군,죽리초등학교,-0.16420474180269753,1.8395474248620363,1.1248518435479222,-0.6249001262617193,-0.5914871901812846,0.3176762213413061,정상
81,충청북도 음성군,수봉초등학교,0.4530145604277176,0.18582667628129657,-0.21917046406705784,0.8202934702225767,-0.24429932587042338,0.31416824247530273,정상
252,충청북도 충주시,용원초등학교,-1.596228589231081,-0.411251427041563,-0.08061146328200819,-0.6249001262617193,-0.7325322600575719,0.31189032739861206,정상
100,충청북도 제천시,송학초등학교,-1.5171509706372395,-0.22837860834491314,-0.3992971650876227,-0.6249001262617193,-0.6945585873985715,0.3088336722259035,정상
234,충청북도 충주시,금가초등학교,-0.18241536019149573,0.3446195931319935,-0.08061146328200819,-0.2343072623470447,-0.458579335874783,0.3073306508594446,정상
2,충청북도 괴산군,동인초등학교,0.3419772092653064,-0.0959850720131306,-1.8818784734876524,1.4396621544301318,-0.06799298852506418,0.30129890253442804,정상
94,충청북도 제천시,내토초등학교,0.5420931499239655,0.21283522394911858,-0.3992971650876227,0.6317899576376684,-0.20903805840135153,0.2923377766572841,정상
104,충청북도 제천시,용두초등학교,0.1970312732512407,0.04601086155738201,-0.3992971650876227,0.6317899576376684,-0.23616211030063755,0.27127339038102166,정상
102,충청북도 제천시,신백초등학교,0.3751523183370888,-0.02729101419002818,-0.3992971650876227,1.2601349995873623,-0.13309071308335066,0.2656119712343338,정상
130,충청북도 진천군,초평초등학교,-0.8238687555942408,0.09319132341652725,1.0555723431553976,-0.6249001262617193,-0.615898836890642,0.2602892497379652,정상
113,충청북도 제천시,화산초등학교,0.15967752871100796,0.09140716504053296,-0.3992971650876227,1.2601349995873623,-0.11410387675385043,0.2255148692320789,정상
108,충청북도 제천시,제천중앙초등학교,0.24982648871837523,0.0836808154525068,-0.3992971650876227,0.6317899576376684,-0.14936514422292227,0.21251109167879134,정상
203,충청북도 청주시,우암초등학교,0.32937115560112895,0.04496321415762539,0.9724369426843679,-0.47892097510168935,-0.33380869713806727,0.2029455363833324,정상
265,충청북도 충주시,충주중앙초등학교,0.010085159096208772,0.1426467458102452,-0.08061146328200819,2.4998427850556775,0.0079543567929367,0.19926244746539715,정상
114,충청북도 증평군,도안초등학교,-1.067362521364732,-0.11374139106258772,1.1248518435479222,-0.6249001262617193,-0.5480887071424269,0.1767484255147187,정상
181,충청북도 청주시,서원초등학교,0.10946684699413915,-0.4476692360129055,0.9724369426843679,-0.33294182394165944,-0.28227299852942384,0.1495835774868134,정상
29,충청북도 보은군,동광초등학교,0.2420701190961052,-0.0352097684576993,-1.355354270504464,2.2654870667068727,0.17341107337858147,0.14799678811936956,정상
71,충청북도 음성군,남신초등학교,0.1562420193319632,0.16641059356477897,-0.21917046406705784,1.5428902684647245,0.0079543567929367,0.14717301940566394,정상
70,충청북도 음성군,감곡초등학교,-0.20410043660954993,0.0726530286533185,-0.21917046406705784,0.09769667198042872,-0.19005122207185132,0.13682062112252968,정상
267,충청북도 충주시,칠금초등학교,0.49898231117488046,0.2509298214979866,-0.08061146328200819,2.8904356489703518,0.21138474603758192,0.13660474289452781,정상
51,충청북도 영동군,이수초등학교,0.18951552298154659,-0.06681945525480944,-1.0089567685418401,1.4396621544301318,0.07033967616129456,0.1356079164183172,정상
195,충청북도 청주시,오창초등학교,-0.2814730687275082,-0.2907147510327403,0.9724369426843679,-0.6249001262617193,-0.33380869713806727,0.11796589737109356,정상
146,충청북도 청주시,남일초등학교,0.3108421110936582,0.4480376975623925,0.9724369426843679,-0.6249001262617193,-0.22260008435099454,0.10563725935932895,정상
18,충청북도 단양군,단양초등학교,-0.12512920499329624,-0.1705691635986348,-1.632472272074563,0.4867872556492776,0.021516382742579714,0.08941380239954003,정상
228,충청북도 청주시,한솔초등학교,0.27988007594060577,0.22579291452327893,0.9724369426843679,-0.47892097510168935,-0.17648919612220829,0.07901698106217536,정상
198,충청북도 청주시,용담초등학교,0.5373480854005548,0.14651872453572612,0.9724369426843679,-0.6249001262617193,-0.14122792865313646,0.07178885950276298,정상
194,충청북도 청주시,오송초등학교,-0.6307921984961509,-0.8272732626758709,0.9724369426843679,-0.6249001262617193,-0.32567148156828146,0.06994469012151705,정상
64,충청북도 옥천군,장야초등학교,0.2845686378491824,-0.19780073619591823,-1.2722188700334345,3.504224435121983,0.42837716123187014,0.056814263929429676,정상
231,충청북도 청주시,흥덕초등학교,0.6248086454827482,0.35127066617483954,0.9724369426843679,-0.6249001262617193,-0.09511704042435021,0.04770096054103649,정상
209,충청북도 청주시,주성초등학교,-0.3574943579695959,-0.26157694411736665,0.9724369426843679,-0.6249001262617193,-0.24701173106035199,0.043745618103756545,정상
222,충청북도 청주시,청주내덕초등학교,-0.2673587456293585,-0.07783830076290033,0.9724369426843679,-0.47892097510168935,-0.21446286878120874,0.041828576968029996,정상
103,충청북도 제천시,왕미초등학교,-0.2222691444908137,0.12345038507056177,-0.3992971650876227,-0.6249001262617193,-0.13037830789342206,0.04108428173461248,정상
260,충청북도 충주시,충주대소원초등학교,-0.62325967512728,-0.5845835289803094,-0.08061146328200819,-0.6249001262617193,-0.1792016013121369,0.013648603031991918,정상
